Batch,LFU,LRU,Hyperbolic,ARC,Caffeine
689,2928,3047,3513,3683,3814
690,2777,2989,3250,3619,3515
691,3116,3024,3580,3889,4102
692,3396,3322,3818,3946,4261
693,3034,3140,3701,3726,4023
694,2939,3035,3418,3548,3796
695,3096,3115,3518,3764,4069
696,2708,2729,3204,3530,3546
697,3431,3453,4068,4238,4570
698,3062,3563,3831,4086,4086
699,3070,3055,3529,3542,3829
700,3034,3261,3795,3986,4170
701,2783,2981,3410,3628,3611
702,2866,3133,3483,3688,3866
703,2905,3551,3827,4093,3957
704,3246,3502,3862,4144,4300
705,3009,3141,3521,3744,3883
706,2896,3173,3556,3778,4000
707,2441,2681,3019,3221,3339
708,3271,3015,3696,3897,4118
709,3070,3346,3811,4025,4142
710,3535,3556,4012,4234,4319
711,3003,3008,3521,3600,3836
712,2994,3210,3656,3806,4086
713,2851,3154,3459,3713,3944
714,3111,3217,3687,3825,4018
715,2579,3688,3612,3626,3591
716,3232,3206,3435,3572,3881
717,3848,3852,4203,4515,4723
718,2879,3423,3685,3934,3661
719,3270,3461,3858,4183,4331
720,3576,3474,4066,4298,4522
721,3246,3620,4191,4361,4391
722,2985,3523,4128,4224,4499
723,3184,2992,3475,3666,3852
724,2980,2789,3384,3617,3794
725,3221,3243,3677,3879,4183
726,3166,3316,3714,3878,4132
727,3204,3190,3621,3878,4043
728,3318,3109,3783,4089,4130
729,3116,3195,3774,3955,4024
730,3507,3510,4081,4163,4391
731,3416,3513,4157,4198,4441
732,3366,3180,3902,4119,4084
733,3155,3515,4053,4184,4354
734,2895,3223,3660,3726,3860
735,2287,2466,2834,2870,3094
736,3368,3159,3707,3927,4026
737,3404,3324,3857,4060,4169
738,3129,3179,3700,3918,4020
739,2982,2908,3418,3543,3714
740,3219,3453,4048,4100,4320
741,3606,3299,3922,4234,4330
742,3306,3354,3843,4125,4272
743,3137,3056,3615,3899,4016
744,3358,3224,3918,4017,4280
745,3299,3261,3813,3956,4220
746,3424,3359,3992,4097,4289
747,3031,2857,3437,3483,3678
748,3292,3128,3618,3725,3950
749,3719,8157,8283,8252,8304
750,3601,5221,5270,5450,5674
751,3025,2917,3119,3475,3489
752,2862,2723,3091,3522,3529
753,3290,3346,3602,4158,4221
754,3271,3408,3698,4230,4338
755,3238,3021,3378,3748,3919
756,3523,3356,3796,4056,4344
757,3068,3040,3452,3750,3998
758,3166,3260,3607,3978,4000
759,3240,3378,3755,4031,4202
760,3127,3211,3633,3889,4116
761,2896,3163,3492,3638,3910
762,2734,2958,3155,3335,3515
763,3276,3243,3681,3859,4100
764,3053,3044,3417,3664,3763
765,3431,3399,3849,4166,4381
766,3119,3832,4286,4556,4568
767,3076,2994,3503,3742,3857
768,2405,2586,2793,3018,3042
769,3058,3262,3628,3962,4001
770,3153,3044,3481,3819,3866
771,3202,2996,3417,3781,3812
772,3197,3035,3557,3859,3991
773,3354,3382,3829,4047,4292
774,3844,4068,4301,4248,4728
775,3009,3006,3332,3721,3781
776,2994,3410,3768,3993,4292
777,3238,3097,3556,3975,4067
778,2921,2831,3355,3600,3848
779,4039,4307,4521,4863,4936
780,3216,3422,3609,3783,4045
781,3142,2976,3373,3715,3938
782,2960,2773,3319,3601,3846
783,3249,3192,3608,3889,3952
784,3474,3459,3954,4193,4288
785,2991,2932,3509,3750,3785
786,2716,2591,3292,3450,3697
787,3072,3724,4113,4316,3911
788,2757,3058,3253,3444,3413
789,3138,3277,3537,3664,4003
790,3493,3739,4117,4358,4547
791,3211,3542,3974,4086,4392
792,3140,3199,3569,3729,3885
793,2995,3200,3634,3786,3978
794,3202,3237,3689,3900,4139
795,3442,3832,4187,4386,4380
796,3407,3343,3768,4022,4087
797,3183,3709,4042,4189,4122
798,2917,3168,3634,3905,3803
799,2896,2874,3430,3709,3773
800,3208,3348,3742,3884,3928
801,3244,3298,3935,4087,4119
802,3250,3067,3735,4020,3937
803,3164,3107,3567,3799,3857
804,3341,3159,3717,3890,3884
805,3001,3191,3641,3863,3810
806,3325,3512,3966,4139,4116
807,3489,3595,4059,4043,4208
808,3444,3206,3885,4110,4080
809,3049,3043,3601,3704,3689
810,3101,3072,3512,3612,3666
811,3015,3154,3616,3727,3836
812,2750,2984,3432,3592,3646
813,3188,3185,3628,3702,3813
